@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute outputs-1 {0,1,2,3}

@data
933,'2022/02/21 23:49:49:056',4,0.325926,0.359313,0.357115,0.181779,0.418402,0.029569,0.364744,0.232723,0.348235,0.237023,0.330869,0.033564,1
934,'2022/02/21 23:49:49:156',4,0.333679,0.355261,0.365762,0.16692,0.426362,0.029219,0.373033,0.236843,0.356621,0.238819,0.339552,0.035937,1
935,'2022/02/21 23:49:49:255',4,0.33829,0.356116,0.374562,0.167211,0.433872,0.028538,0.381085,0.238431,0.363544,0.238705,0.347062,0.033435,1
936,'2022/02/21 23:49:49:354',4,0.34425,0.36008,0.38218,0.173193,0.443724,0.03533,0.388874,0.238934,0.372663,0.24045,0.354668,0.032917,1
937,'2022/02/21 23:49:49:454',4,0.350281,0.358742,0.389134,0.172862,0.450508,0.038482,0.396388,0.24134,0.378993,0.246622,0.36357,0.035254,1
938,'2022/02/21 23:49:49:553',4,0.350887,0.360741,0.387386,0.176567,0.451427,0.037214,0.394421,0.245619,0.379101,0.247066,0.363925,0.036606,1
939,'2022/02/21 23:49:49:652',4,0.351969,0.360369,0.389756,0.177937,0.453526,0.036231,0.397302,0.242734,0.379933,0.24701,0.364467,0.037423,1
940,'2022/02/21 23:49:49:751',4,0.356299,0.358798,0.395971,0.173497,0.459334,0.038153,0.40339,0.241432,0.385188,0.246544,0.371331,0.035837,1
941,'2022/02/21 23:49:49:851',4,0.359308,0.353981,0.401381,0.169721,0.463135,0.034802,0.406239,0.236188,0.388314,0.244254,0.375741,0.032045,1
942,'2022/02/21 23:49:49:950',4,0.362171,0.352691,0.403265,0.165615,0.466471,0.033755,0.409402,0.233675,0.391891,0.24205,0.378354,0.030915,1
943,'2022/02/21 23:49:50:043',4,0.36337,0.353269,0.404626,0.164636,0.467582,0.032769,0.411241,0.23389,0.393713,0.243252,0.379492,0.030968,1
944,'2022/02/21 23:49:50:143',4,0.36553,0.349055,0.406742,0.16378,0.468434,0.030078,0.414169,0.229254,0.394775,0.240256,0.38207,0.025941,1
945,'2022/02/21 23:49:50:242',4,0.368548,0.345862,0.409283,0.161118,0.47412,0.030415,0.416022,0.230094,0.398083,0.238736,0.385342,0.025441,1
946,'2022/02/21 23:49:50:343',4,0.36946,0.349322,0.412927,0.162311,0.476915,0.031514,0.420311,0.228525,0.401951,0.238629,0.388499,0.023826,1
947,'2022/02/21 23:49:50:441',4,0.369386,0.351212,0.412183,0.163817,0.47667,0.033668,0.417552,0.234497,0.401134,0.241905,0.388618,0.026218,1
